,Unnamed: 0,zipcode,unleashed,barking,poop,violation,nameone,nametwo,namethree,namefour,namefive,dognumber,breedone,breedtwo,breedthree,breedfour,breedfive,colorone,colortwo,colorthree,colorfour,colorfive,nameonenum,nametwonum,namethreenum,namefournum,namefivenum,breedonenum,breedtwonum,breedthreenum,breedfournum,breedfivenum,coloronenum,colortwonum,colorthreenum,colorfournum,colorfivenum,Fnum,Mnum,Fnameone,Fnametwo,Fnamethree,Fbreedone,Fbreedtwo,Fbreedthree,Fcolorone,Fcolortwo,Fcolorthree,Mnameone,Mnametwo,Mnamethree,Mbreedone,Mbreedtwo,Mbreedthree,Mcolorone,Mcolortwo,Mcolorthree,Fnameonenum,Fnametwonum,Fnamethreenum,Fbreedonenum,Fbreedtwonum,Fbreedthreenum,Fcoloronenum,Fcolortwonum,Fcolorthreenum,Mnameonenum,Mnametwonum,Mnamethreenum,Mbreedonenum,Mbreedtwonum,Mbreedthreenum,Mcoloronenum,Mcolortwonum,Mcolorthreenum,Fneuterednum,Mneuterednum,Fvaccinatednum,Mvaccinatednum,Fnamefour,Fnamefournum,Fnamefive,Fnamefivenum,Fbreedfour,Fbreedfournum,Fbreedfive,Fbreedfivenum,Fcolorfour,Fcolorfournum,Fcolorfive,Fcolorfivenum,Mnamefour,Mnamefournum,Mnamefive,Mnamefivenum,Mbreedfour,Mbreedfournum,Mbreedfive,Mbreedfivenum,Mcolorfour,Mcolorfournum,Mcolorfive,Mcolorfivenum,Vaccinated,Neutered,COCO,MAX,BELLA,SHIH,CHIHUAHUA,YORKSHIRE,BROWN,WHITE,BLACK
25,25,10027,41.0,247.0,4.0,49.0,Bella,Teddy,Lucy,Sammy,Cooper,457.0,Chihuahua,Shih Tzu,Yorkshire Terrier,Labrador Retriever,American Pit Bull Terrier,Black,White,Brown,Tan,Blond,6.0,5.0,5.0,4.0,4.0,36.0,30.0,29.0,20.0,18.0,145.0,81.0,63.0,38.0,22.0,195.0,262.0,Bella,Lucy,Sheba,Chihuahua,Shih Tzu,Yorkshire Terrier,Black,White,Brown,Teddy,Cooper,Rocky,Chihuahua,Shih Tzu,Yorkshire Terrier,Black,White,Brown,6.0,5.0,3.0,15.0,12.0,12.0,62.0,36.0,27.0,5.0,4.0,4.0,21.0,18.0,17.0,83.0,45.0,36.0,156.0,213.0,172.0,240.0,Lexi,3.0,Sandy,3.0,American Pit Bull Terrier Crossbreed,10.0,Labrador Retriever,10.0,Tan,18.0,Brindle,10.0,Oreo,3.0,Sammy,3.0,Maltese,14.0,Labrador Retriever,10.0,Tan,20.0,Blond,15.0,412.0,369.0,3,2,6,30,36,29,63,81,145
26,26,10028,40.0,242.0,3.0,26.0,Charlie,Lucy,Lola,Rosie,Oliver,1060.0,Havanese,Shih Tzu,Labrador Retriever,Maltese,Golden Retriever,Black,White,Brown,Tan,Blond,17.0,14.0,13.0,10.0,9.0,64.0,54.0,53.0,41.0,38.0,299.0,233.0,108.0,90.0,83.0,538.0,521.0,Lucy,Lola,Rosie,Havanese,Labrador Retriever,Shih Tzu,Black,White,Brown,Charlie,Oliver,Cooper,Havanese,Shih Tzu,Labrador Retriever,Black,White,Brown,14.0,13.0,10.0,33.0,28.0,24.0,148.0,120.0,53.0,12.0,9.0,7.0,31.0,29.0,25.0,151.0,112.0,55.0,488.0,426.0,471.0,472.0,Bella,9.0,Chloe,8.0,Maltese,24.0,Golden Retriever,23.0,Blond,49.0,Tan,43.0,Tucker,6.0,Max,5.0,Cavalier King Charles Spaniel,22.0,Cocker Spaniel,20.0,Tan,47.0,Blond,34.0,943.0,914.0,8,5,9,54,35,31,108,233,299
27,27,10029,28.0,262.0,9.0,94.0,Max,Coco,Lola,Precious,Lucky,811.0,Yorkshire Terrier,Shih Tzu,Chihuahua,American Pit Bull Terrier,Maltese,Black,White,Brown,Tan,Gray,17.0,11.0,10.0,10.0,10.0,83.0,76.0,66.0,51.0,44.0,227.0,183.0,97.0,89.0,41.0,375.0,436.0,Precious,Lola,Bella,Shih Tzu,Yorkshire Terrier,Chihuahua,Black,White,Brown,Max,Lucky,Gizmo,Yorkshire Terrier,Shih Tzu,Chihuahua,Black,White,Brown,10.0,10.0,9.0,41.0,38.0,33.0,101.0,93.0,42.0,17.0,9.0,7.0,45.0,35.0,33.0,126.0,90.0,55.0,306.0,312.0,328.0,380.0,Lady,8.0,Coco,8.0,Maltese,22.0,American Pit Bull Terrier,18.0,Tan,38.0,Gray,20.0,Buddy,6.0,Prince,5.0,American Pit Bull Terrier,33.0,Maltese,22.0,Tan,51.0,Gray,21.0,708.0,618.0,11,17,9,76,66,83,97,183,227
28,28,10030,7.0,98.0,5.0,38.0,Daisy,Casey,Pepper,Lady,Lily,146.0,Yorkshire Terrier,Chihuahua,Maltese,American Pit Bull Terrier,Lhasa Apso,Black,White,Brown,Tan,Gray,3.0,2.0,2.0,2.0,2.0,17.0,11.0,9.0,9.0,7.0,31.0,29.0,27.0,17.0,9.0,57.0,89.0,Daisy,Lady,Casey,Yorkshire Terrier,Lhasa Apso,American Pit Bull Terrier Crossbreed,White,Brown,Black,Harry,Rufus,Baxter,Yorkshire Terrier,Chihuahua,Maltese,Black,White,Brown,3.0,2.0,2.0,6.0,6.0,4.0,13.0,12.0,10.0,2.0,2.0,1.0,11.0,10.0,7.0,21.0,16.0,15.0,43.0,74.0,50.0,76.0,Lily,2.0,Princess,2.0,American Pit Bull Terrier,4.0,"Bull Dog, English",3.0,Gray,6.0,Tan,5.0,Sir,1.0,Cielo,1.0,American Pit Bull Terrier,5.0,Shih Tzu,4.0,Tan,12.0,Brindle,5.0,126.0,117.0,0,1,1,6,11,17,27,29,31
29,29,10031,18.0,238.0,19.0,111.0,Max,Mia,Tobby,Luna,Princess,284.0,Chihuahua,Yorkshire Terrier,Shih Tzu,American Pit Bull Terrier Crossbreed,Maltese,Black,White,Brown,Tan,Brindle,4.0,3.0,3.0,3.0,3.0,29.0,22.0,16.0,15.0,14.0,69.0,67.0,36.0,30.0,17.0,126.0,158.0,Mia,Luna,Princess,Chihuahua,Yorkshire Terrier,American Pit Bull Terrier,Black,White,Brown,Max,Tobby,Bebe,Chihuahua,Yorkshire Terrier,American Pit Bull Terrier Crossbreed,Black,White,Brown,3.0,3.0,3.0,13.0,8.0,7.0,30.0,29.0,14.0,4.0,3.0,2.0,16.0,14.0,10.0,39.0,38.0,22.0,102.0,103.0,106.0,141.0,Vivian,2.0,Penelope,2.0,Labrador Retriever,6.0,Shih Tzu,6.0,Tan,11.0,Brindle,10.0,Taz,2.0,George,2.0,Shih Tzu,10.0,Maltese,9.0,Tan,19.0,Brindle,7.0,247.0,205.0,2,4,1,16,29,22,36,67,69
30,30,10032,39.0,228.0,4.0,76.0,Princess,Prince,Rocky,Mia,Bella,334.0,Chihuahua,Yorkshire Terrier,Shih Tzu,American Pit Bull Terrier,Labrador Retriever,Black,White,Tan,Brown,Gray,8.0,4.0,4.0,3.0,3.0,34.0,30.0,17.0,16.0,12.0,86.0,62.0,53.0,33.0,20.0,150.0,184.0,Princess,Mia,Bella,Chihuahua,Yorkshire Terrier,Shih Tzu,Black,White,Brown,Prince,Rocky,Tobby,Chihuahua,Yorkshire Terrier,Shih Tzu,Black,Tan,White,8.0,3.0,3.0,16.0,13.0,9.0,37.0,26.0,22.0,4.0,4.0,3.0,18.0,17.0,8.0,49.0,36.0,36.0,122.0,124.0,131.0,169.0,Nala,3.0,Zoey,3.0,American Pit Bull Terrier,8.0,Labrador Retriever,7.0,Tan,17.0,Brindle,10.0,Jack,3.0,Smokey,2.0,American Pit Bull Terrier,8.0,Maltese,7.0,Gray,14.0,Brown,11.0,300.0,246.0,1,1,3,17,34,30,33,62,86
31,31,10033,57.0,211.0,3.0,71.0,Lily,Charlie,Tobby,Lola,Bella,371.0,Yorkshire Terrier,Chihuahua,Maltese,American Pit Bull Terrier,Shih Tzu,Black,White,Tan,Brown,Brindle,6.0,6.0,5.0,5.0,4.0,27.0,22.0,17.0,16.0,15.0,99.0,84.0,48.0,42.0,21.0,177.0,194.0,Lily,Lola,Bella,Chihuahua,Yorkshire Terrier,Shih Tzu,Black,White,Tan,Charlie,Tobby,Otis,Yorkshire Terrier,Chihuahua,American Pit Bull Terrier Crossbreed,Black,White,Brown,6.0,5.0,4.0,12.0,12.0,10.0,48.0,40.0,26.0,6.0,5.0,4.0,15.0,10.0,9.0,51.0,44.0,24.0,136.0,138.0,158.0,178.0,Daisy,3.0,Lulu,3.0,Maltese,9.0,American Pit Bull Terrier,9.0,Brown,18.0,Blond,7.0,Rocky,4.0,Cooper,3.0,Maltese,8.0,Labrador Retriever Crossbreed,7.0,Tan,22.0,Brindle,14.0,336.0,274.0,0,2,4,15,22,27,42,84,99
32,32,10034,166.0,189.0,7.0,77.0,Bella,Ruby,Lucy,Tobby,Lucky,353.0,Yorkshire Terrier,Shih Tzu,Chihuahua,Labrador Retriever Crossbreed,Maltese,Black,White,Tan,Brown,Blond,6.0,6.0,6.0,5.0,4.0,24.0,18.0,17.0,14.0,13.0,109.0,73.0,40.0,34.0,23.0,170.0,183.0,Bella,Ruby,Lucy,Chihuahua,Yorkshire Terrier,Shih Tzu,Black,White,Tan,Tobby,Henry,Lucky,Yorkshire Terrier,Shih Tzu,Chihuahua,Black,White,Brown,6.0,6.0,6.0,10.0,10.0,8.0,46.0,31.0,25.0,5.0,3.0,3.0,14.0,10.0,7.0,63.0,42.0,16.0,148.0,152.0,151.0,169.0,Daisy,4.0,Stella,3.0,Mixed,8.0,Labrador Retriever Crossbreed,8.0,Brown,18.0,Blond,10.0,Cody,3.0,Buddy,2.0,Maltese,7.0,Labrador Retriever Crossbreed,6.0,Tan,15.0,Blond,13.0,320.0,300.0,2,1,6,18,17,24,34,73,109
33,33,10035,14.0,92.0,4.0,83.0,Oreo,Lady,Max,Coco,Angel,294.0,Yorkshire Terrier,Shih Tzu,Chihuahua,American Pit Bull Terrier,Maltese,Black,White,Brown,Tan,Blue,5.0,5.0,4.0,4.0,4.0,31.0,29.0,24.0,17.0,14.0,81.0,78.0,38.0,27.0,13.0,143.0,151.0,Lady,April,Bella,Chihuahua,Shih Tzu,Yorkshire Terrier,White,Black,Brown,Oreo,Max,Gizmo,Yorkshire Terrier,Shih Tzu,Chihuahua,Black,White,Brown,5.0,3.0,2.0,16.0,11.0,11.0,40.0,36.0,19.0,4.0,4.0,3.0,20.0,18.0,8.0,45.0,38.0,19.0,113.0,101.0,132.0,135.0,Sweet,2.0,Cookie,2.0,American Pit Bull Terrier,11.0,Maltese,8.0,Tan,11.0,Gray,6.0,Coco,3.0,Lucky,3.0,Maltese,6.0,American Pit Bull Terrier,6.0,Tan,16.0,Blue,8.0,267.0,214.0,4,4,2,29,24,31,38,78,81
34,34,10036,9.0,158.0,2.0,23.0,Lucy,Daisy,Buddy,Lola,Sammy,575.0,Chihuahua,Yorkshire Terrier,Shih Tzu,Maltese,"Bull Dog, French",Black,White,Tan,Brown,Blond,7.0,7.0,6.0,6.0,5.0,37.0,37.0,29.0,26.0,23.0,150.0,116.0,72.0,55.0,29.0,262.0,313.0,Lucy,Daisy,Lola,Chihuahua,Yorkshire Terrier,Shih Tzu,Black,White,Tan,Buddy,Jake,Jack,Yorkshire Terrier,Chihuahua,Shih Tzu,Black,White,Tan,7.0,7.0,6.0,18.0,16.0,15.0,75.0,49.0,34.0,6.0,4.0,4.0,21.0,19.0,14.0,75.0,67.0,38.0,225.0,248.0,216.0,275.0,Maggie,5.0,Coco,5.0,Maltese,15.0,"Bull Dog, French",10.0,Brown,21.0,Blond,15.0,Tobby,3.0,Sammy,3.0,Labrador Retriever,14.0,"Bull Dog, French",13.0,Brown,34.0,Gray,16.0,491.0,473.0,5,2,1,29,37,37,55,116,150
35,35,10037,16.0,65.0,0.0,56.0,Sofie,Chewie,Chico,Princess,Fendi,148.0,Yorkshire Terrier,American Pit Bull Terrier,Maltese,Shih Tzu,Labrador Retriever Crossbreed,Black,White,Tan,Brown,Gray,2.0,2.0,2.0,2.0,2.0,27.0,12.0,8.0,6.0,6.0,47.0,25.0,19.0,18.0,10.0,62.0,86.0,Fendi,Princess,Sofie,Yorkshire Terrier,Maltese,Labrador Retriever Crossbreed,Black,White,Brown,Chico,Simba,Sir,Yorkshire Terrier,American Pit Bull Terrier,Maltese,Black,White,Tan,2.0,2.0,2.0,12.0,3.0,3.0,21.0,12.0,7.0,2.0,2.0,1.0,15.0,10.0,5.0,26.0,13.0,13.0,56.0,62.0,55.0,71.0,Sofia,1.0,Bridget,1.0,"Schnauzer, Miniature",2.0,Boston Terrier,2.0,Tan,6.0,Gray,4.0,Sonny,1.0,Wiley,1.0,Shih Tzu,5.0,Bichon Frise,3.0,Brown,11.0,Gray,6.0,126.0,118.0,0,1,0,6,3,27,18,25,47
36,36,10038,5.0,86.0,0.0,14.0,Oliver,Buddy,Coco,Lucy,Bella,390.0,Yorkshire Terrier,Shih Tzu,Chihuahua,Maltese,"Bull Dog, French",Black,White,Brown,Tan,Red,6.0,5.0,5.0,4.0,3.0,34.0,30.0,18.0,15.0,14.0,110.0,87.0,32.0,30.0,19.0,170.0,219.0,Lucy,Bella,Zoe,Yorkshire Terrier,Shih Tzu,Chihuahua,White,Black,Tan,Oliver,Buddy,Oscar,Shih Tzu,Yorkshire Terrier,Maltese,Black,White,Brown,4.0,3.0,3.0,19.0,13.0,9.0,43.0,42.0,18.0,6.0,5.0,3.0,17.0,15.0,11.0,67.0,44.0,17.0,151.0,172.0,156.0,188.0,Coco,3.0,Lulu,3.0,"Schnauzer, Miniature",5.0,Pomeranian,5.0,Brown,15.0,Fawn,8.0,Tito,3.0,Oreo,2.0,Chihuahua,9.0,"Bull Dog, French",9.0,Gray,12.0,Tan,12.0,344.0,323.0,5,1,3,30,18,34,32,87,110
37,37,10039,31.0,139.0,1.0,27.0,Princess,Buddy,Bella,Sasha,Brownie,167.0,Shih Tzu,Chihuahua,Yorkshire Terrier,American Pit Bull Terrier,Pomeranian,Black,White,Brown,Tan,Gray,5.0,3.0,3.0,3.0,3.0,17.0,16.0,13.0,12.0,6.0,45.0,32.0,30.0,18.0,9.0,73.0,94.0,Princess,Bella,Sasha,Chihuahua,Shih Tzu,Yorkshire Terrier,Black,Brown,White,Buddy,Brownie,Taz,Shih Tzu,Chihuahua,Yorkshire Terrier,Black,White,Brown,5.0,3.0,3.0,8.0,6.0,5.0,25.0,15.0,14.0,3.0,3.0,2.0,11.0,8.0,8.0,20.0,18.0,15.0,57.0,69.0,62.0,84.0,Gigi,2.0,Nina,2.0,American Pit Bull Terrier,5.0,"Poodle, Toy",3.0,Tan,4.0,Brindle,3.0,Scrappy,2.0,Kaioko,1.0,American Pit Bull Terrier,7.0,Labrador Retriever,4.0,Tan,14.0,Gray,8.0,146.0,126.0,2,0,3,17,16,13,30,32,45
38,38,10040,24.0,209.0,2.0,77.0,Lucy,Max,Buddy,Bella,Mabel,293.0,Chihuahua,Yorkshire Terrier,Shih Tzu,Maltese,"Poodle, Miniature",Black,White,Tan,Brown,Blond,6.0,4.0,3.0,3.0,3.0,24.0,20.0,17.0,12.0,9.0,86.0,64.0,35.0,26.0,19.0,141.0,152.0,Lucy,Bella,Mabel,Yorkshire Terrier,Chihuahua,Shih Tzu,Black,White,Tan,Max,Buddy,Tobby,Chihuahua,Shih Tzu,Yorkshire Terrier,Black,White,Tan,6.0,3.0,3.0,12.0,11.0,9.0,37.0,35.0,17.0,4.0,3.0,3.0,13.0,8.0,8.0,49.0,29.0,18.0,117.0,110.0,123.0,135.0,Lily,3.0,Betty,3.0,Maltese,7.0,Cavalier King Charles Spaniel,4.0,Brown,9.0,Gray,7.0,Sam,2.0,Arthur,2.0,"Poodle, Miniature",6.0,Pug,6.0,Brown,17.0,Blond,13.0,258.0,227.0,1,4,3,17,24,20,26,64,86
39,39,10041,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
40,40,10043,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
41,41,10044,1.0,42.0,0.0,2.0,Fluffy,Nala,Charlie,Lucky,Diego,71.0,Shih Tzu,Chihuahua,Cocker Spaniel,Pomeranian,Cavalier King Charles Spaniel,White,Black,Brown,Tan,Blond,2.0,2.0,2.0,2.0,1.0,6.0,4.0,4.0,4.0,3.0,17.0,13.0,9.0,9.0,6.0,32.0,39.0,Fluffy,Nala,Koko,Shih Tzu,American Pit Bull Terrier Crossbreed,Jack Russell Terrier,White,Black,Blond,Charlie,Lucky,Diego,Chihuahua,Cocker Spaniel,Cavalier King Charles Spaniel,White,Brown,Black,2.0,2.0,1.0,3.0,2.0,2.0,9.0,7.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,8.0,6.0,6.0,31.0,32.0,29.0,32.0,Sky,1.0,Bella,1.0,Chihuahua,1.0,Australian Cattle Dog,1.0,Tan,4.0,Brown,3.0,Santiago,1.0,Radley,1.0,Pomeranian,3.0,Shih Tzu,3.0,Tan,5.0,Fawn,4.0,61.0,63.0,0,0,1,6,4,2,9,17,13
42,42,10045,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
43,43,10047,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
44,44,10048,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
45,45,10055,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
46,46,10065,14.0,184.0,0.0,22.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
47,47,10069,14.0,7.0,0.0,16.0,Charlie,Oliver,Bella,Kobe,Maximus,135.0,Havanese,Shih Tzu,Labrador Retriever,Cavalier King Charles Spaniel,Maltese,Black,White,Brown,Tan,Red,4.0,3.0,2.0,2.0,2.0,11.0,9.0,8.0,7.0,7.0,35.0,35.0,11.0,11.0,6.0,65.0,70.0,Bella,Lola,Mollie,Shih Tzu,Yorkshire Terrier,Labrador Retriever,Black,White,Tan,Charlie,Oliver,Maximus,Havanese,Cavalier King Charles Spaniel,Shih Tzu,White,Black,Brown,2.0,2.0,2.0,5.0,5.0,4.0,21.0,16.0,5.0,4.0,3.0,2.0,7.0,6.0,4.0,19.0,14.0,9.0,58.0,65.0,58.0,64.0,Mika,1.0,Belle,1.0,Havanese,4.0,"Poodle, Toy",3.0,Red,4.0,Rust,3.0,Baxter,1.0,Duke,1.0,Maltese,4.0,Labrador Retriever,4.0,Tan,6.0,Apricot,4.0,122.0,123.0,0,1,2,9,4,6,11,35,35
48,48,10075,9.0,157.0,3.0,25.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
49,49,10080,0.0,0.0,0.0,0.0,Boris,N.A.,,,,2.0,Jack Russell Terrier,"Bull Dog, French",,,,Black,Cream,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,"Bull Dog, French",,,Cream,,,Boris,,,Jack Russell Terrier,,,Black,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1
50,50,10081,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
51,51,10096,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
52,52,10097,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
53,53,10103,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
54,54,10104,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
55,55,10105,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
56,56,10106,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
